j,v1,v2,v3,time
0,0.0599725,0.0579583,1.95799,0.00204468
2,0.0569512,0.0569512,1.89596,0.00393677
4,0.0549874,0.0549874,1.83896,0.00579834
6,0.0519661,0.0549874,1.78498,0.00762939
8,0.0519661,0.0529732,1.73397,0.00942994
10,0.050959,0.050959,1.68296,0.0112915
12,0.0479881,0.0489952,1.632,0.0132141
14,0.046981,0.0479881,1.58396,0.0150452
16,0.0459739,0.0459739,1.53899,0.0168762
18,0.0439597,0.0439597,1.49599,0.0187073
20,0.0429526,0.0429526,1.45198,0.0205383
22,0.0439597,0.0419959,1.41099,0.0223389
24,0.0399817,0.0399817,1.37197,0.0241699
26,0.0389746,0.0409888,1.33198,0.0259705
28,0.0379675,0.0389746,1.29296,0.0278015
30,0.0379675,0.0379675,1.25796,0.0296021
32,0.0359533,0.0349965,1.22397,0.0314331
34,0.0359533,0.0349965,1.18898,0.0332642
36,0.0349965,0.0339894,1.15599,0.0350952
38,0.0339894,0.0329823,1.12397,0.0368958
40,0.0329823,0.0329823,1.09199,0.0387268
42,0.0319753,0.0329823,1.05997,0.0405273
44,0.0299611,0.0299611,1.03197,0.0423279
46,0.0299611,0.0299611,1.00397,0.0441589
48,0.028954,0.028954,0.973961,0.0459595
50,0.0269901,0.0279972,0.946971,0.0477905
52,0.0269901,0.0269901,0.922952,0.0495911
54,0.025983,0.024976,0.896969,0.0514221
56,0.025983,0.025983,0.871993,0.0532227
58,0.025983,0.024976,0.847974,0.0550537
60,0.0229618,0.0239689,0.823955,0.0568542
62,0.024976,0.0219547,0.802957,0.0586853
64,0.0229618,0.0219547,0.781959,0.0604858
66,0.0229618,0.0219547,0.75799,0.0623169
68,0.0219547,0.0219547,0.737999,0.0641479
70,0.0219547,0.0209979,0.717958,0.0659485
72,0.0199908,0.0199908,0.699981,0.0677795
74,0.0199908,0.0209979,0.684976,0.0695801
76,0.0189837,0.0189837,0.66,0.0714111
78,0.0189837,0.0189837,0.641973,0.0732422
80,0.0199908,0.0179766,0.62596,0.0750427
82,0.0189837,0.0169695,0.60899,0.0768738
84,0.0169695,0.0179766,0.592978,0.0786743
86,0.0169695,0.0159625,0.567951,0.0805054
88,0.0159625,0.0159625,0.562966,0.0823059
90,0.0149554,0.0139986,0.545996,0.084137
92,0.0159625,0.0139986,0.532955,0.0859375
94,0.0149554,0.0139986,0.517999,0.0877686
96,0.0149554,0.0149554,0.504957,0.0895691
98,0.0129915,0.0139986,0.492973,0.0914001
100,0.0139986,0.0149554,0.478974,0.0932007
102,0.0129915,0.0129915,0.465983,0.0950317
104,0.0139986,0.0129915,0.453998,0.0968323
106,0.0129915,0.0129915,0.440956,0.0986633
108,0.0119844,0.0119844,0.429979,0.100464
110,0.0119844,0.0119844,0.418952,0.102295
112,0.0119844,0.0109773,0.407974,0.104126
114,0.0119844,0.0109773,0.394983,0.106354
116,0.0109773,0.0109773,0.384962,0.108185
118,0.00997024,0.0109773,0.373985,0.110016
120,0.00997024,0.00997024,0.364971,0.111816
122,0.00997024,0.00997024,0.355958,0.113617
124,0.00997024,0.00997024,0.345987,0.115448
126,0.00997024,0.00896315,0.323982,0.117249
128,0.00896315,0.00997024,0.331989,0.11908
130,0.00795605,0.00896315,0.318997,0.120911
132,0.00795605,0.00896315,0.310991,0.122711
134,0.00896315,0.00896315,0.301977,0.124542
136,0.00896315,0.00699931,0.294978,0.126343
138,0.00699931,0.00795605,0.286972,0.128174
140,0.00699931,0.00795605,0.279972,0.129974
142,0.00599222,0.00599222,0.272973,0.131805
144,0.00699931,0.00699931,0.265974,0.133606
146,0.00599222,0.00599222,0.259982,0.135437
148,0.00599222,0.00699931,0.252982,0.137238
150,0.00599222,0.00599222,0.24699,0.139038
152,0.00599222,0.00599222,0.240998,0.140869
154,0.00699931,0.00599222,0.234955,0.14267
156,0.00397803,0.00599222,0.225992,0.145172
158,0.00599222,0.00599222,0.220957,0.147003
160,0.00599222,0.00599222,0.214964,0.148804
162,0.00599222,0.00498512,0.210986,0.150635
164,0.00599222,0.00498512,0.204994,0.152435
166,0.00498512,0.00397803,0.198952,0.154266
168,0.00397803,0.00498512,0.192959,0.156067
170,0.00498512,0.00599222,0.186967,0.158569
172,0.00297093,0.00397803,0.183996,0.160431
174,0.00498512,0.00397803,0.176997,0.162933
176,0.00397803,0.00397803,0.171961,0.165588
178,0.00397803,0.00397803,0.165969,0.16745
180,0.00397803,0.00397803,0.161991,0.16925
182,0.00297093,0.00297093,0.157963,0.171082
184,0.00297093,0.00397803,0.153985,0.172913
186,0.00498512,0.00196384,0.150964,0.174713
188,0.00297093,0.00297093,0.146985,0.176544
190,0.00397803,0.00397803,0.143964,0.178375
192,0.00196384,0.00297093,0.138979,0.180176
194,0.00397803,0.00297093,0.136965,0.182007
196,0.00297093,0.00397803,0.13198,0.183838
198,0.00196384,0.00196384,0.130973,0.185638
200,0.00196384,0.00196384,0.126995,0.187469
202,0.00297093,0.00297093,0.122966,0.18927
204,0.00297093,0.00196384,0.120952,0.191101
206,0.00196384,0.00196384,0.117981,0.192932
208,0.00498512,0.00397803,0.11496,0.194763
210,0.00196384,0.00498512,0.112996,0.196564
212,0.00297093,0.00196384,0.109975,0.198395
214,0.00196384,0.00297093,0.105997,0.200195
216,0.00297093,0.00196384,0.10499,0.202026
218,0.00297093,0.00196384,0.101968,0.203857
220,0.00095674,0.00196384,0.100961,0.205658
222,0.00297093,0.0,0.0969832,0.207489
224,0.00196384,0.00196384,0.094969,0.20929
226,0.00196384,0.00095674,0.0919981,0.211121
228,0.00196384,0.00196384,0.0899839,0.212952
230,0.00095674,0.00095674,0.0889768,0.214752
232,0.00196384,0.00095674,0.0879698,0.216583
234,0.00196384,0.00095674,0.0849988,0.218384
236,0.00095674,0.00095674,0.0829846,0.220215
238,0.00196384,0.0,0.0789562,0.222015
240,0.00095674,0.00196384,0.0789562,0.223846
242,0.0,0.00196384,0.0769924,0.225647
244,0.00095674,0.0,0.0749782,0.227478
246,0.00095674,0.00095674,0.0739711,0.229279
248,0.00297093,0.0,0.072964,0.23111
250,0.00095674,0.0,0.0709498,0.232941
252,0.00095674,0.00095674,0.0659647,0.234741
254,0.00095674,0.00095674,0.0679789,0.236572
