j,vdac,v1,v2,time
0,0.0,0.0849988,0.0549874,0.399841
5,0.0646555,0.103983,0.0569512,0.802917
10,0.129361,0.159977,0.0699931,1.2052
15,0.194067,0.221964,0.109975,1.60785
20,0.258773,0.276951,0.149,2.01038
25,0.323479,0.340952,0.188981,2.4129
30,0.388185,0.399968,0.226999,2.8154
35,0.45289,0.459991,0.267988,3.21793
40,0.517596,0.521977,0.306962,3.62045
45,0.582302,0.578979,0.349965,4.02298
50,0.647008,0.63598,0.38899,4.42548
55,0.711714,0.699981,0.426958,4.82705
60,0.77642,0.758997,0.468954,5.22958
65,0.841126,0.825969,0.509993,5.63214
70,0.905832,0.888963,0.553952,6.09311
75,0.970537,0.947978,0.593985,6.49619
80,1.03524,1.01097,0.632959,6.89847
85,1.09995,1.06898,0.674955,7.30099
90,1.16465,1.13197,0.71398,7.70355
95,1.22936,1.19295,0.752954,8.10608
100,1.29407,1.25499,0.793994,8.50861
105,1.35877,1.31199,0.834982,8.91113
110,1.42348,1.37599,0.874964,9.31369
115,1.48818,1.43496,0.915953,9.71622
120,1.55289,1.49599,0.952964,10.1188
125,1.6176,1.55596,0.996974,10.5213
130,1.6823,1.61996,1.03796,10.9239
135,1.74706,1.69398,1.07895,11.3264
140,1.81171,1.74197,1.12996,11.8456
145,1.87642,1.79897,1.16299,12.2487
150,1.94112,1.86096,1.19995,12.6519
155,2.00588,1.93,1.24099,13.0545
160,2.07054,1.97899,1.28596,13.457
165,2.13524,2.03796,1.32,13.8596
170,2.19995,2.09597,1.35897,14.2621
175,2.2647,2.16797,1.398,14.6646
180,2.32936,2.21299,1.44896,15.0671
185,2.39407,2.26999,1.47695,15.4696
190,2.45877,2.33399,1.51598,15.8721
195,2.52353,2.41396,1.55697,16.2747
200,2.58818,2.46396,1.60697,16.6772
205,2.65289,2.52695,1.64096,17.0797
210,2.7176,2.58597,1.67999,17.5437
215,2.78235,2.60399,1.71896,17.9468
220,2.84701,2.60399,1.76599,18.3501
225,2.91171,2.60399,1.79897,18.7529
230,2.97642,2.60399,1.83598,19.1555
235,3.04117,2.60399,1.87496,19.558
240,3.10583,2.60399,1.91796,19.9605
245,3.17054,2.60399,1.94697,20.363
250,3.23524,2.60399,1.97698,20.7646
